NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
280965,198101,1398075,1108095,86893,587294,118830,163774,617479,945696,69323,450990,441575,262505,338159,163824,26957,17866,23207,148318,96414,136518,67125,30177,79070,38333,149497,113117
311373,214610,1455500,1300588,95355,724771,137497,192974,756409,899477,73962,428303,437626,283523,409670,175315,30698,20854,24618,169329,104285,141743,72533,34121,93253,48581,131502,126309
302158,212851,1429899,1231142,88666,714570,133092,172702,708701,960262,75869,411390,413839,267914,396131,176136,29238,20437,24513,153068,102872,145285,70513,34281,100904,46669,133045,150644
289150,214251,1399503,1182118,85937,694555,132579,169212,650123,950042,72982,415113,418545,254247,366379,169814,29174,20149,23597,160035,103190,137436,69658,33319,101881,43304,127320,142985
343352,246915,1575316,1453440,100050,758560,152537,197421,749477,1149230,84854,439408,437914,287076,421634,200178,33471,22630,26707,199022,119285,160038,75262,39350,101072,45922,127614,133694
344743,258637,1595402,1441304,101821,644323,152804,174058,681680,1144119,84344,464289,428829,280904,373435,199896,35010,23641,27978,198421,124556,168577,75233,40944,101480,42594,125587,121671
345869,259573,1573036,1573639,102051,789720,152961,211753,901344,1173391,91980,474493,484135,281314,479382,193211,35797,23355,28491,204221,133997,178067,86546,41965,99022,47333,116669,136565
353691,272245,1674814,1622147,104251,811084,157664,221700,931569,1174577,89723,476217,484132,274345,475252,206192,34827,23246,27764,204725,130823,181059,86200,42521,101543,48348,119212,142985
352737,273818,1657872,1612355,102716,797589,153386,223670,934655,1179111,89416,449657,458147,273087,473744,204544,33809,22880,26564,205537,123647,176657,84473,42193,110649,51009,127470,151473
311004,238527,1383401,1369220,90414,714293,133027,194522,776164,974062,76716,438809,423809,252297,421753,174035,29916,20901,23257,175229,117794,161393,77062,38934,108975,49184,132702,154471
293789,225918,1280019,1249963,91989,667992,137977,173356,676781,981022,76723,424132,428637,269536,374059,162139,29123,20231,24325,161293,106966,144003,72906,36655,102711,46029,121522,142768
355238,277546,1706461,1645625,107258,832328,169782,216147,907505,1237499,86961,477923,503904,299092,463801,204257,33191,22852,28031,202081,119907,162344,81912,40681,103538,49619,124238,145407
361417,286324,1912505,1689209,103706,898043,182880,223600,952740,1243834,81765,478771,533822,287653,477276,217197,34080,23280,28720,206444,122021,165596,83058,41992,104740,51569,131017,142651
361082,288536,2006795,1709237,104214,924818,179796,230920,964864,1223628,89517,479155,518598,287095,475509,217460,34137,24199,28167,213391,122290,172445,84045,43164,110328,53909,133057,150453
368392,298472,2009577,1738074,107878,906772,180019,234045,974587,1255447,89563,484719,523906,280283,470686,216457,33819,24054,27683,210444,119503,178618,84057,43333,118184,55237,140321,170501
355732,285823,1851781,1698974,102470,853200,159941,234574,978479,1196276,81709,473092,513499,286927,464903,223895,33972,23303,27770,207544,119512,175957,84056,43298,120335,57418,143580,192109
317237,246209,1565884,1443490,96152,722316,128516,213050,816878,995575,71569,452373,477532,277664,429813,195268,30442,20864,25425,191249,111108,169842,75460,39665,118412,54649,142824,187543
304689,235820,1520665,1331476,91058,688244,129339,188858,706184,941527,70096,395889,437073,256035,384908,180037,29659,20594,24965,182873,105205,157886,72614,36025,120735,51386,139996,179473
349264,267273,1698233,1651353,102804,797272,144818,229870,920730,1116005,81323,434226,467443,261881,456916,211299,34581,23384,26474,206609,117981,172144,82529,40672,123823,55562,145132,187455
350103,271759,1781581,1679921,105521,826903,154902,235670,965860,1080409,82116,430736,459413,266254,468172,214719,34694,23464,26536,209307,119493,175499,83469,42423,122525,57517,142007,184010
346259,260116,1783216,1663324,104903,855208,164345,234397,980556,1172182,82078,467429,472907,280001,469860,218082,34924,23868,26923,209587,119039,175261,83322,42968,124198,57448,145727,179573
352032,268938,1810379,1672881,105625,873081,173583,235109,981803,1200467,84397,459502,476355,288599,470655,220929,34266,23446,27687,210387,118490,174526,84235,42756,123491,58584,144764,178028
354604,270975,1874326,1660167,104207,836622,170149,230783,967345,1202711,87510,456134,438133,272037,470560,220596,34007,23212,26519,204723,120335,179801,83975,42815,122437,57619,144568,178015
320513,258578,1842813,1446436,89924,762841,148545,203372,794383,1100896,78604,453204,436948,267580,424632,194183,30627,20749,23758,180845,113335,167689,77532,39123,116278,51735,134150,178096
306967,247184,1755193,1338463,86972,705341,136954,187422,693489,1156586,78798,399059,398148,240978,385756,178121,29775,19888,22453,180435,107873,150329,74842,36287,111747,48448,128630,162443
353840,283625,1984212,1682280,104011,839703,158103,228105,931071,1265632,86129,459489,473330,282364,461771,216920,33310,22408,26918,208981,120740,170684,83507,41177,113341,53061,136488,168324
350440,275462,2019690,1691207,102981,870584,160574,233001,961801,1273035,89276,448287,469023,279932,473564,218581,33865,23814,27411,212485,124343,172627,85077,42806,114154,54298,137406,163202
358950,283877,2087401,1705946,105391,863416,160356,231538,975307,1226078,85106,453045,480481,279137,473241,216419,34017,23617,27014,210831,123983,176141,85552,42722,114640,53792,138569,163282
358192,287244,2069374,1702833,104959,875995,174246,234479,979385,1230806,86039,450161,495747,290871,470257,223530,34092,23571,27768,209779,125752,173438,85428,43478,116231,55646,137827,177833
353312,282389,1974335,1657819,100613,897646,176241,230064,964748,1237431,87793,447458,493105,289955,461533,216911,33532,23975,26849,207698,123399,180590,83390,43337,120883,59222,146154,188331
322324,258256,1769642,1435345,100314,763497,135654,199512,816052,1112655,81322,425284,469325,269702,423545,192872,30646,23038,26698,190147,110259,172236,74481,39285,119576,54264,132403,179830
309922,255166,1733323,1347982,103596,681730,121087,188225,709592,1030711,74379,439855,467743,265593,382379,181618,29190,21749,25160,187937,105891,158748,72642,37823,118790,52048,127212,159154
354518,288433,1935023,1704336,101829,844257,166867,228497,923944,1207377,83350,478161,494392,285280,448145,211076,32922,23389,26918,211635,117446,172319,82221,41668,121706,55569,139113,177232
354873,288793,1909053,1716768,105491,859567,166989,227381,972691,1262480,82801,482971,491496,280468,460261,202827,33485,23494,26747,213452,120555,176944,84753,43507,116944,58261,138042,182527
356129,288269,1955696,1714599,107107,806558,145227,230268,964199,1257479,83573,494855,496857,276288,462327,205285,33849,24282,27593,215307,121682,182025,84701,43358,123133,60408,143233,184356
355688,286076,2061001,1718259,104684,786059,141531,234207,991123,1297401,88292,490659,503195,279944,464979,220477,34043,24078,28187,216241,120253,181046,84171,44108,122121,59945,146696,176993
351542,291953,2181281,1692829,100976,774750,137156,231663,957174,1292825,91145,487506,512199,291898,465899,227592,33526,24102,28158,213262,121681,185719,83767,42933,119275,58268,144003,174458
328732,260766,1970612,1481385,108132,727570,129183,201590,827900,1311478,95867,486979,489006,275169,429030,195376,30361,21873,26581,193345,112672,171980,79336,39252,107265,49794,131634,161182
312333,254551,1910517,1379519,105207,693037,119377,191198,719048,1217521,89020,488925,481215,263268,390722,181276,29322,21188,25575,194371,108646,158763,75300,36598,105394,44023,127000,140691
357914,293246,1934879,1726490,98831,806061,149817,234306,960288,1343963,95438,494890,511716,283489,461655,188159,33550,23206,27068,218359,125118,175319,85550,42240,106791,51438,126818,136477
