Unit,bus,Technology,Fuel,cost,co2_per_mwh,max,stomax,min,stomin
NL_Nuclear energy,0,STUR,NUC,3,0,11664,0,9914.4,0
NL_Biomass fleet,0,STUR,BIO,7.026868446277631,0,9552,0,0,0
NL_CCGT fleet E class,0,COMC,GAS,67.5643052024438,0.3903954293628809,5016,0,0,0
NL_CCGT fleet F class,0,COMC,GAS,48.4570862940099,0.2125482137807522,271920,0,0,0
NL_CCGT fleet G_H class,0,COMC,GAS,42.457246557502046,0.18635735537190082,32592,0,0,0
NL_CCGT fleet CHP,0,COMC,GAS,35.94822106474501,0.13277017751479292,168408,0,0,0
NL_Coal fleet Supercritical,0,STUR,HRD,56.66905891171236,0.5716647851782988,112176,0,0,0
BE_Nuclear energy,1,STUR,NUC,3,0,142056,0,120747.59999999999,0
BE_Biomass fleet,1,STUR,BIO,6.975631871245608,0,22032,0,0,0
BE_CCGT fleet F class,1,COMC,GAS,48.27158440165772,0.21887148318792277,75864,0,0,0
BE_CCGT fleet G_H class,1,COMC,GAS,42.30570758961533,0.18452132231404958,14496,0,0,0
BE_CCGT fleet CHP,1,COMC,GAS,35.23952045570789,0.13277017751479292,45240,0,0,0
BE_CCGT fleet cogen,1,COMC,GAS,77.83430555461496,0.48285207612456743,3360,0,0,0
FR_Hydro reservoir,2,HDAM,WAT,0.1,0,400154.4554869757,4086276,40015.44554869758,612941
FR_Nuclear energy,2,STUR,NUC,3,0,1471824,0,1251050.4,0
FR_Biomass fleet,2,STUR,BIO,7.01301192965195,0,11280,0,0,0
FR_OCGT fleet Standard,2,GTUR,GAS,88.97019204642585,0.48765657439446364,4872,0,0,0
FR_CCGT fleet E class,2,COMC,GAS,77.03953318678809,0.3903954293628809,11088,0,0,0
FR_CCGT fleet F class,2,COMC,GAS,52.62929770843869,0.20609551455238748,75360,0,0,0
FR_CCGT fleet G_H class,2,COMC,GAS,49.48885197654871,0.18635735537190082,66672,0,0,0
FR_Coal fleet Subcritical,2,STUR,HRD,78.6811815635345,0.8695656565656567,28560,0,0,0
FR_Coal fleet Supercritical,2,STUR,HRD,63.67410943579425,0.6662658570735037,41760,0,0,0
FR_Oil fleet Standard,2,STUR,OIL,85.49379618155247,0.6945238265983003,39360,0,0,0
FR_Oil fleet Supercritical,2,STUR,OIL,71.05210586974545,0.536553324099723,16440,0,0,0
DE_Nuclear energy,3,STUR,NUC,3,0,259032,0,220177.19999999998,0
DE_Biomass fleet,3,STUR,BIO,6.941699425358536,0,163536,0,0,0
DE_OCGT fleet Modern,3,GTUR,GAS,68.46404514922084,0.3844151750226145,16512,0,0,0
DE_OCGT fleet Standard,3,GTUR,GAS,80.33416275012651,0.47680303274995955,48144,0,0,0
DE_Lignite fleet Subcritical,3,STUR,LIG,76.1862770415958,1.0138644225591222,314424,0,0,0
DE_Lignite fleet Supercritical,3,STUR,LIG,56.763392872805206,0.7228758850478967,159552,0,0,0
DE_CCGT fleet E class,3,COMC,GAS,68.74046965564271,0.3884722991689751,86952,0,0,0
DE_CCGT fleet CHP,3,COMC,GAS,36.22925687971148,0.13277017751479292,153600,0,0,0
DE_CCGT fleet F class,3,COMC,GAS,47.75974136834904,0.2019789074961563,280872,0,0,0
DE_CCGT fleet G_H class,3,COMC,GAS,42.618318061946894,0.1854393388429752,13464,0,0,0
DE_CCGT fleet cogen,3,COMC,GAS,78.29985480439848,0.47680303274995955,44160,0,0,0
DE_Coal fleet IGCC,3,STUR,HRD,58.887844036697246,0.6039974999999999,26160,0,0,0
DE_Coal fleet Subcritical,3,STUR,HRD,83.88124996318787,0.8982711183819154,300576,0,0,0
DE_Coal fleet Supercritical,3,STUR,HRD,61.526391359705514,0.6009887998208966,247440,0,0,0
DE_Oil fleet Standard,3,STUR,OIL,85.21020761245674,0.7038589965397923,3264,0,0,0
DE_Oil fleet Subcritical,3,STUR,OIL,152.9932052298684,1.5381115311909264,24144,0,0,0
DK_Biomass fleet,4,STUR,BIO,6.9701240501396375,0,25632,0,0,0
DK_CCGT fleet F class,4,COMC,GAS,43.58303903575863,0.20266464934140263,2592,0,0,0
DK_CCGT fleet cogen,4,COMC,GAS,23.00328290033066,0.0569285,22968,0,0,0
DK_Coal fleet Subcritical,4,STUR,HRD,77.33795577736099,0.8388531967030517,66120,0,0,0
DK_Coal fleet Supercritical,4,STUR,HRD,65.62035058213998,0.6876574141709277,9048,0,0,0
DK_Oil fleet Subcritical,4,STUR,OIL,148.77708303039117,1.464618147448015,12480,0,0,0
ES_Hydro reservoir,5,HDAM,WAT,0.1,0,415569.7943389464,20670524,41556.979433894645,3100579
ES_Nuclear energy,5,STUR,NUC,3,0,181728,0,154468.8,0
ES_Biomass fleet,5,STUR,BIO,6.959404690718225,0,37584,0,0,0
ES_OCGT fleet Standard,5,GTUR,GAS,82.6673285659892,0.4579216326530613,74256,0,0,0
ES_CCGT fleet F class,5,COMC,GAS,54.57402685275932,0.1996988252046992,464952,0,0,0
ES_CCGT fleet G_H class,5,COMC,GAS,48.588797643537454,0.1854393388429752,133824,0,0,0
ES_CCGT fleet cogen,5,COMC,GAS,146.08444797154306,1.0604045368620039,43296,0,0,0
ES_Coal fleet Standard,5,STUR,HRD,73.76990101300228,0.797546712802768,17232,0,0,0
ES_Coal fleet Subcritical,5,STUR,HRD,78.51919460924313,0.8215317442637557,193632,0,0,0
ES_Coal fleet Supercritical,5,STUR,HRD,62.75364749844491,0.6452534923434394,35184,0,0,0
PT_Hydro reservoir,6,HDAM,WAT,0.1,0,98088.87004103977,5980499,9808.887004103977,897075
PT_Biomass fleet,6,STUR,BIO,6.998271855074191,0,13968,0,0,0
PT_CCGT fleet F class,6,COMC,GAS,48.63900817648341,0.19237105624142659,72048,0,0,0
PT_CCGT fleet G_H class,6,COMC,GAS,47.237995954527825,0.1854393388429752,19824,0,0,0
PT_Coal fleet Supercritical,6,STUR,HRD,62.93087412212344,0.642325484764543,42144,0,0,0
AT_Hydro reservoir,7,HDAM,WAT,0.1,0,196020.7306791569,3709981,19602.07306791569,556497
AT_Biomass fleet,7,STUR,BIO,7.009290678898224,0,11856,0,0,0
AT_CCGT fleet E class,7,COMC,GAS,69.73544970483175,0.3827029085872577,13440,0,0,0
AT_CCGT fleet F class,7,COMC,GAS,46.53409474128247,0.19673300106799574,71376,0,0,0
AT_CCGT fleet cogen,7,COMC,GAS,84.02335767977104,0.5074591368227732,18432,0,0,0
