NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
52975.68488,31166.5158,122802.36229201673,502524.73530276964,66855.53049,96836.93356001524,27684.17376582212,67005.66313473877,184315.5882632113,237984.47105771492,48034.58887845663,9157.78746,103638.142,32635.684671631847,65536.05804,22644.240988616028,6635.4716100000005,698.3246800000001,4495.81875,1456.00064,193.55608,32533.55015690318,0.60156,9191.173228725052,14356.505330212425,12668.732714270369,19971.716797062574,30815.25
61148.9558,33037.16768,138788.30058381043,900770.5327136789,74409.93492,88217.62863327363,30702.173034766212,77509.51507019198,105065.57996199312,236055.9308213132,37758.62874910204,9055.41948,136132.8368,34519.12448408761,112147.48368,22408.76178025472,9501.97128,952.71448,5924.62125,5928.121319999999,1905.2864,40918.55592280503,26.13843,10562.120263130888,9330.602026724608,6146.0774084336745,20258.232522967224,17602.575
41474.66587,14627.06856,189759.38450636115,670729.0107949618,66128.58825,115267.9527522279,24174.996758894362,72981.62315146111,115163.28681336906,107231.5173510581,11225.391393296431,9233.90433,118348.9716,45497.2752760857,114947.72054,31049.24028773683,9534.78142,957.33208,6059.13375,4757.26448,3168.40128,47704.22000573327,30.15012,9568.383289272646,9424.515354202342,7438.484730717486,20860.645978487337,5630.23125
29389.69854,6888.94184,111884.92326050637,574930.3318486967,53382.24291,118661.86839076973,28129.216046210026,111362.56435574511,174096.83815934788,70053.96166850212,15247.50550694867,8122.723739999999,98349.7744,41911.368685771464,111486.995,37897.88255549717,9156.58424,955.46876,5557.35,6211.899509999999,5627.44024,44314.43353405651,55.008539999999996,8959.913185101941,12094.890886853253,9543.471118939744,21102.072685613482,14333.4375
17064.31033,8117.50708,90031.95338548417,291179.43613768,17009.915680000002,65379.11037260054,24357.468587965708,110922.75018420783,173016.79728679446,106010.80682960183,31195.26743728962,5464.70937,21247.9364,36425.03200457495,61802.93998,32104.235726810413,6059.11055,524.06948,3580.85625,4968.42158,5675.67592,51150.984985924784,46.19592,10388.497196652681,11179.295007606235,8561.472927586114,21561.173358548138,28116.9
19771.03421,14164.53628,98037.36045047377,214397.53626910478,38691.442259999996,47750.826387366345,20575.47543842395,73711.87737372816,135626.9823329471,136931.27734051688,27401.78045487838,9477.04356,64407.7532,40785.019231887156,23274.17726,33049.71699314437,1237.97453,78.45036,983.80125,744.20205,2062.4541600000002,59264.99199364817,13.06488,12731.879719877767,15437.536513991066,8428.553836813693,22877.13014717473,26782.93125
40488.00761,20504.7606,102683.51713900302,348127.4043375638,47668.5113,29568.786599857933,27899.486728303436,55866.02410476922,76647.55373334548,229945.34154075055,49250.293061709905,6812.16741,57654.4772,47735.57296945574,54631.62178,32243.51014696238,6911.26308,751.87774,5485.63875,1584.17685,909.7572,55792.38862251477,13.043520000000001,9791.975684876932,14347.921535550806,5472.192828735715,21212.900505217767,25789.51875
49921.77815,37059.25684,194299.54399216606,715413.3611675417,61782.75462,78100.8752397159,31098.167866283195,55561.32527412384,77707.28242656146,216787.4216988016,43861.821846820436,10266.75063,92365.21919999999,42907.79610583397,71918.54772,30553.289889303254,7602.53598,847.46354,5468.0475,3950.06155,771.2264,28461.64632506191,11.87106,8525.982610824343,6611.750679057114,5003.413537450744,21113.029152417752,11494.275
62645.999429999996,44291.546239999996,243561.36714893347,974488.7149880013,65046.83581,132136.6028930172,43803.18981423397,105023.8962121366,102368.4724825164,250368.47400956688,49332.15289102033,5061.98574,56672.388399999996,38180.18548699602,117425.89912,28337.300448990285,5218.34944,457.76918,1672.1625,6315.5999999999995,4944.1244,63031.481370257774,56.51958,9694.773132782302,12191.10360444501,6112.384476274642,23705.31821438622,5398.5
62521.46743,39118.98436,226864.07105096395,1005979.4064414185,64451.44373,126615.60495412989,29326.04265423128,124487.702003131,137543.53848079647,260741.2921417068,50956.061293080274,9595.64061,88141.546,38613.97046615284,98891.61542,33074.89667120708,4576.25612,468.27792,2686.71,6315.5999999999995,5697.57648,69661.71033156237,56.82837,8778.810904861162,14317.32307078553,5572.253241545243,26479.583480645473,7332.05625
63068.19702,40974.3782,209106.5317309807,978681.7760363702,72217.67367,172120.7034482047,34752.29923731461,118484.216186143,168951.42247840267,259025.6568154091,50113.324424680126,7333.82856,94785.3964,40578.56785470954,115649.85374,34512.622966459814,9430.23282,887.96596,3852.285,6105.636769999999,4508.4584,60695.00907568758,49.73265,10019.473893103966,15802.33551100675,7829.67724047274,30746.289776511716,16118.925
62848.35103,44270.51644,230818.86291043396,984597.704420902,72490.57042,186760.66833759393,32107.448633524556,110240.13090063671,128904.31009016265,246061.54242666712,44241.83519399471,9006.06006,97318.158,33399.70997583429,108196.47358,32361.56676236634,7456.36645,697.8081599999999,3499.6875,6315.5999999999995,4349.75888,56897.338834060785,43.32687,13213.82047973272,14933.179605128338,8390.594381395373,33755.72091172323,31816.425
52738.45908,41251.08056,242418.6802570111,890861.1961845938,51134.55616,229105.11723469873,38003.50947452203,74373.60975108294,83262.40021360003,210065.5644139108,39886.576413766095,10647.57942,90225.2812,36020.88232718404,106028.10166,32464.189319762972,8656.80732,865.71934,5618.60625,6359.474029999999,1682.394,46660.026631065746,12.65601,13359.556517244791,9544.601667586907,7070.970447069791,33234.615973013904,27762.7875
52121.73767,40112.24348,226685.53653849254,698385.468926338,55344.88183,154151.70482254794,33409.01820233046,74788.13201396064,93944.28253394217,237822.7147850915,48050.04398526927,10482.13719,76455.774,36781.48457680336,73108.71294,32555.49336046505,6510.36959,690.93208,4511.235,5337.35234,867.81912,44092.18958087325,10.69218,10688.473581796748,8015.143985811192,6799.793740504318,34078.56597492631,3223.18125
63124.92312,42633.84448,237321.61478867423,931767.1584055135,72148.69544,383373.1353288519,84531.80380938973,82837.00189594102,85685.61579115063,265060.80935219914,50665.01435776375,9657.94662,106925.1416,36234.696763425774,66433.28318,37794.274228316885,5088.99218,669.15462,4396.90125,4293.16483,2547.50384,39191.16010800181,25.68588,12082.248074759726,10382.294601089392,6870.355267100043,34208.533286667414,3106.0875
39476.70822,18696.86924,111287.68593630435,420995.86284515035,63802.09036,328382.3448286416,61978.883552374406,67114.81191348862,127130.57596613333,185172.09174288678,25827.08482653092,6445.69074,121838.2536,42371.33528599287,59095.71654,53068.31662510161,6992.06174,908.12948,6092.53875,2033.06366,3898.48992,37849.396553294006,25.154429999999998,9817.547135962841,9053.389340079983,9986.575120198157,34836.649130480306,5201.75625
33600.58255,16925.9122,122954.65025258216,256955.34000846322,51888.608,169756.8343540076,41801.075500632665,74124.86500250215,163164.90144502843,126459.89245376634,21648.84115590388,6460.8111,90009.6484,38461.1858675539,26069.52446,47913.53004113407,2940.34539,524.9412,5333.12625,907.84257,2020.0536,43453.13280692933,14.41743,11527.621489933577,9486.276454313012,12499.83476756959,33627.67578714073,501.09375
10263.53259,12499.26268,128342.63196397974,222053.20832967444,16840.90338,219462.04398309672,72351.05755701367,55495.42984035219,110554.44128924493,109765.64388227522,27267.806164826052,5212.35999,35486.4956,34271.695987618,10356.19,35760.98728632208,2790.8979,606.81702,4813.08,98.85853,319.65568,44005.48334947142,0.47481,12819.727104256715,10937.160286784097,8615.056202919714,34927.98048033262,3549.75
137.95663000000002,1628.58908,86823.20739991752,63930.77974113132,2759.08203,324075.46022391965,80862.42024164872,35451.88126634382,87389.81620319681,40777.90695927423,13460.24686832283,6583.84299,19067.4108,29528.842965473512,13362.94632,21789.357755332938,442.49915,59.9252,539.48625,76.82318,26.23344,45379.968329375886,0,14479.29189774773,13858.967581675035,8522.094614865937,34558.206590641996,10088.15625
1857.92848,3708.6866800000003,93641.8776616347,52326.98150042976,4078.50616,113988.88003398648,66395.7265930983,42054.36167262562,97068.40641976648,75443.24986802846,18522.62792439648,8129.64663,48956.6916,28784.65386510416,19751.58928,16756.927724732483,4409.03435,314.46078,2189.6549999999997,208.51729,339.81456,38217.05298777914,3.8806499999999997,13023.476039162797,9338.39622180971,9622.747673312933,33251.03694331206,8742.39375
12855.3117,9272.71012,101045.4741533277,86526.23415253313,1053.1693,296361.33061288035,77138.071505614,42879.752674406824,102467.65722421434,71067.50754152864,19572.44122984562,6124.59261,24135.1988,29865.61185051135,2297.15128,16128.798070466477,3355.88281,320.56208,3517.2374999999997,424.1978,82.74128,35291.50538171937,1.33437,11238.315209001094,8063.69993273003,9040.14404213183,35019.97086578217,7380.73125
13097.05574,5926.44784,95458.71936493936,108723.93699229912,342.73226,357363.8340057766,69280.33108689678,48006.76008987185,101663.67547307468,40871.53219767427,7714.705679649471,4178.50101,3676.6048,29374.427642008028,4513.43088,11619.081267301337,63.94058,17.41812,638.10375,749.80299,183.4012,35616.045720034825,5.928599999999999,11340.495057213255,8973.870578438926,11424.17902927523,33872.699730235196,12480.65625
